slot_group,priority_rank,post_id,creator,title,video_type,followers,views,likes,comments,engagement_pct,post_date,duration_seconds,selection_reason
short_primary,1,pINW53ErjQI,edumartins car,MUITO CUIDADO AO DIRIGIR!,short,326000,2911233,119757,2271,4.192,2026-02-22T20:36:34,86,"alto alcance, titulo ambiguo, bom engajamento"
short_primary,2,_j1gOOnjgcU,carupdicasautomotivas,Quase ninguém faz! #dicasautomotivas #mecanicadescomplicada #mecanicaautomotiva,short,1070000,1357802,54548,317,4.041,2026-02-10T08:30:00,73,"caso curto com sinal de manutencao"
short_primary,3,z55GnDEg7_U,Carros com Tiago,Quanto custa o motor do Kwid ?,short,529000,1758092,60411,3365,3.628,2026-05-21T00:10:35,152,"mistura custo e detalhe tecnico"
short_primary,4,CjFrJg6VCjc,Carros com Tiago,Testei a autonomia do Byd Dolphin Mini Gs no extremo,short,529000,1278811,81269,1868,6.501,2026-05-23T15:42:41,180,"caso claro de powertrain"
short_primary,5,nP0q6x1Uqs0,Eletricarbr,Brasil Cheio de Elétricos por Culpa Dele: NOVO BYD Dolphin SE - R$ 159 Mil,short,162000,792636,30546,888,3.966,2026-05-16T11:53:35,179,"caso claro de powertrain com vies de mercado/lancamento"
long_primary,1,JGzj254Kgs4,CarroChefe,O CARRO POPULAR DE VERDADE! 25 SALÁRIOS MIMOS POR UM UMZ ERO KM COMPLETO! VC TERIA?,long,1690000,691631,33836,3930,5.460,2026-03-09T20:56:06,554,"forte sinal de compra_venda"
long_primary,2,6qSnrkGd70I,MEGA DICAS AUTOMOTIVAS,NÃO TIRO MAIS DO CARRO! COMO MELHORAR E DEIXAR A ÁGUA DO RADIADOR REALMENTE LIMPA PRA SEMPRE!,long,595000,556124,10817,546,2.043,2026-02-13T20:33:00,851,"caso claro de manutencao/arrefecimento"
long_primary,3,aXbFPJMVGKw,CarroChefe,ACABOU PRA VW, JEEP E TOYOTA! Avaliação Changan Uni-T 2026,long,1690000,522121,30817,1559,6.201,2026-05-25T20:56:34,1731,"review com titulo agressivo"
long_primary,4,RTZHxSE2t5M,Meu Carro Life Style,MECÂNICOS EM PÂNICO? MILHARES DE CARROS DESCARTÁVEIS DESPEJADOS em nosso MERCADO! E AGORA?,long,1660000,392188,24884,2163,6.896,2026-06-10T23:29:30,1392,"caso forte de mercado"
long_primary,5,UtWYJfldWHA,Quatrorodas,R$ 169.990! Caoa Changan Uni-T estreia NACIONAL, FLEX e é equipado como CARRO DE LUXO,long,670000,321036,15297,1129,5.117,2026-03-26T18:40:06,2152,"mistura mercado/review com sinal de powertrain"
short_alternate,1,ITBdyKnV5Pg,Carros com Tiago,Quanto custa uma manutenção pesada no Honda HR-V ?,short,529000,786952,30079,970,3.945,2026-04-25T16:50:37,117,"alternate short 1"
short_alternate,2,KzlGcX0HjZY,CarroChefe,TODO CARRO ALEMÃO FAZ ISSO! VC SABIA?,short,1690000,893168,29624,702,3.395,2026-05-12T15:00:28,26,"alternate short 2"
short_alternate,3,NxOia4iUyV8,Carros com Tiago,Será que a nossa gasolina comum so tem 30% de etanol? Vamos testar…,short,529000,667060,34710,827,5.327,2026-06-20T17:20:25,168,"alternate short 3"
long_alternate,1,xKNbBoiDt5g,BF///MS,UM CAMINHÃO MOTORHOME NO ESTILO YELLOWSTONE!,long,185000,758326,18616,248,2.488,2026-06-12T20:56:08,2495,"alternate long 1"
long_alternate,2,Ffmnzmm4Sf8,canal da mecanica,Os 3 Melhores Pneus Custo-Benefício do Mercado!,long,192000,470650,15690,648,3.471,2025-05-07T14:25:55,489,"alternate long 2"
long_alternate,3,WhpT__pTf50,canal da mecanica,Como Escolher Pneu Bom e Barato em 2025? Guia Atualizado!,long,192000,346339,18101,700,5.428,2025-03-13T22:28:37,515,"alternate long 3"
