slot_group,priority_rank,post_id,creator,title,video_type,followers,views,likes,comments,engagement_pct,post_date,duration_seconds,selection_reason
random_primary,1,KwZFtY1w8FY,CarroChefe,ESPORTIVO RAIZ COM CAMBIO MANUAL! SIMPLESMENTE ANIMAL PENA QUE É CARO - Avaliação GR Yaris MANUAL,long,1690000,128781,10878,714,9.0,2026-04-09T14:59:44,1584,amostra aleatoria elegivel; seed=20260723; filtros doc33; sem uso anterior
random_primary,2,0YeiiIpSrP0,OpiniãoSincera,"Novo Jeep Commander HÍBRIDO: O que é e como funciona o MHEV? É bom? Gasta menos? Preço, problemas",long,2170000,22630,1714,101,8.02,2026-07-10T22:00:27,1648,amostra aleatoria elegivel; seed=20260723; filtros doc33; sem uso anterior
random_primary,3,KONPXAjlkn8,Portimus,👀😨 T-CROSS É MELHOR QUE CARRO CHINÊS? OPNIÃO DO MECÂNICO,long,411000,5178,352,46,7.69,2026-07-13T21:00:38,1187,amostra aleatoria elegivel; seed=20260723; filtros doc33; sem uso anterior
random_primary,4,cwQIxaJDJAE,garagem do bellote,MOTOS CLÁSSICAS EM SOCORRO: o Centro Cultural Movimento | Garagem Moto,long,547000,2166,305,29,15.42,2026-01-25T21:00:38,1931,amostra aleatoria elegivel; seed=20260723; filtros doc33; sem uso anterior
random_primary,5,cLH17x4LiCA,stanleyravagnani,NOVO TOYOTA YARIS CROSS XR EM SUA VERSÃO DE ENTRADA 2026 | MOSTREI OS PONTOS POSITIVOS E NEGATIVOS!!,long,220000,92329,6373,506,7.45,2026-05-02T22:29:58,1689,amostra aleatoria elegivel; seed=20260723; filtros doc33; sem uso anterior
random_primary,6,fvt-UH964yA,stanleyravagnani,CAOACHERY TIGGO 7 2027 | QUAL VALE MAIS A PENA? | AGORA COM 7 ANOS DE GARANTIA!!,long,220000,68950,4170,188,6.32,2026-03-17T22:46:34,1195,amostra aleatoria elegivel; seed=20260723; filtros doc33; sem uso anterior
random_primary,7,Yel1puu2qGQ,AutoPapo,Uma picape nova da Volkswagen não aparece camuflada por acaso. #Shorts,short,1180000,5295,353,20,7.04,2026-05-18T19:34:38,82,amostra aleatoria elegivel; seed=20260723; filtros doc33; sem uso anterior
random_primary,8,UMEYwVvLsGM,Eletricarbr,"+ R$ 30 Milhões por 2.000 cv, 4 Motores e 0-300 km/h em 9 segundos: Lotus",short,162000,36323,1890,81,5.43,2026-05-29T23:59:21,168,amostra aleatoria elegivel; seed=20260723; filtros doc33; sem uso anterior
random_primary,9,Sth4l0Kc2NY,Quatrorodas,ASFALTO BRASILEIRO NA CHINA,short,670000,28482,1603,127,6.07,2026-03-08T21:00:27,48,amostra aleatoria elegivel; seed=20260723; filtros doc33; sem uso anterior
random_primary,10,yAytAka2dfg,canal da mecanica,"Se você para de aprender, fica pra trás! #oficina #alinhamento3d #geometriaveicular",short,192000,3199,128,5,4.16,2026-07-08T21:23:55,27,amostra aleatoria elegivel; seed=20260723; filtros doc33; sem uso anterior
