fabricante,modelo,codigo_modelo,url_modelo,href_original,texto_link,params
Adamo,CRX,CRX,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Adamo&modelo=CRX,catalogomodelo.asp?fabricante=Adamo&modelo=CRX,CRX,"{'fabricante': ['Adamo'], 'modelo': ['CRX']}"
Adamo,GTL,GTL,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Adamo&modelo=GTL,catalogomodelo.asp?fabricante=Adamo&modelo=GTL,GTL,"{'fabricante': ['Adamo'], 'modelo': ['GTL']}"
Adamo,GTM,GTM,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Adamo&modelo=GTM,catalogomodelo.asp?fabricante=Adamo&modelo=GTM,GTM,"{'fabricante': ['Adamo'], 'modelo': ['GTM']}"
Agrale,Marruá,Marruá,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Agrale&modelo=Marruá,catalogomodelo.asp?fabricante=Agrale&modelo=Marruá,Marruá,"{'fabricante': ['Agrale'], 'modelo': ['Marruá']}"
Alfa Romeo,145,145,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Alfa Romeo&modelo=145,catalogomodelo.asp?fabricante=Alfa Romeo&modelo=145,145,"{'fabricante': ['Alfa Romeo'], 'modelo': ['145']}"
Alfa Romeo,147,147,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Alfa Romeo&modelo=147,catalogomodelo.asp?fabricante=Alfa Romeo&modelo=147,147,"{'fabricante': ['Alfa Romeo'], 'modelo': ['147']}"
Alfa Romeo,155,155,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Alfa Romeo&modelo=155,catalogomodelo.asp?fabricante=Alfa Romeo&modelo=155,155,"{'fabricante': ['Alfa Romeo'], 'modelo': ['155']}"
Alfa Romeo,156,156,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Alfa Romeo&modelo=156,catalogomodelo.asp?fabricante=Alfa Romeo&modelo=156,156,"{'fabricante': ['Alfa Romeo'], 'modelo': ['156']}"
Alfa Romeo,156 Sportwagon,156 Sportwagon,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Alfa Romeo&modelo=156 Sportwagon,catalogomodelo.asp?fabricante=Alfa Romeo&modelo=156 Sportwagon,156 Sportwagon,"{'fabricante': ['Alfa Romeo'], 'modelo': ['156 Sportwagon']}"
Alfa Romeo,164,164,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Alfa Romeo&modelo=164,catalogomodelo.asp?fabricante=Alfa Romeo&modelo=164,164,"{'fabricante': ['Alfa Romeo'], 'modelo': ['164']}"
